Ciudad,Temperatura,Presión,Humedad %,Velocidad del Viento,Descripción del Clima,Índice UV,Sensación Térmica,Visibilidad
Lima,15.03,1015,83,1.03,nubes,0 of 11,14.4°C,6 mi
Arequipa,9.04,1016,18,1.03,cielo claro,1 of 11,12.2°C,6 mi
Trujillo,16.98,1015,88,2.06,niebla,0 of 11,17.2°C,2.5 mi
Chiclayo,16.97,1015,88,4.63,algo de nubes,1 of 11,17.2°C,6 mi
Piura,18.68,1015,78,4.74,muy nuboso,0 of 11,18.9°C,6 mi
Iquitos,24.02,1013,100,0.0,muy nuboso,1 of 11,24.4°C,6 mi
Cusco,4.13,1020,52,0.0,muy nuboso,0 of 11,18.9°C,6 mi
Chimbote,17.3,1015,82,1.92,nubes,0 of 11,15.6°C,7 mi
Huancayo,8.43,1022,41,1.06,cielo claro,1 of 11,4.4°C,10 mi
Tacna,11.11,1018,82,1.03,nubes,0 of 11,10.6°C,6 mi
